Brand,Name,Price,Size,Rating,Details,IngredientsFENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,$34.00 ,SIZE 1.08 oz/ 32 mL,4.1 / 5 stars,"Coverage:
? Medium

Skin type:
? Sensitive
? Normal
? Dry
? Combination
? Oily

Finish:
? Matte 

What it is:
 A soft matte, long-wear foundation with buildable, medium-to-full coverage, in a boundary-breaking range of shades. 

What it does:
 Finally—the ultimate photo filter in foundation form. Born in 40 boundary-breaking shades, Pro Filt’r Soft Matte Longwear Foundation gives skin an instantly smooth, pore-diffused, shine-free finish that easily builds to medium to full coverage. The oil-free formula is made with climate-adaptive technology that’s resistant to sweat and humidity, and won’t clog pores so that wherever you are, it’s going to work on your skin. Best of all, this longwearing, light-as-air texture is undetectable on skin—so you always look like you. 

What it is formulated WITHOUT:
- Parabens
- Phthalates 

What else you need to know:
 How did Fenty Beauty nail the ultimate shade lineup? Obsessive research to create the perfect range of shades for all, exclusive insights from the world’s top makeup artists, and through extensive testing for real life on real women. 

 Fenty Beauty figured out that it takes the right balance of tone and texture to make foundation work on every skin type. We obsessed over custom pigment levels to capture your truest tones with a soft matte finish that’s just right—not too matte and not too shiny. The result? A comfortable long-wear formula that lets skin look like skin. Made for all women to love. 

 ""Foundation is one of those areas in the beauty industry that has a big void for women at extreme ends of the shade spectrum. There’s this middle ground that's covered really, really well. But then if you're very pale or if you're very dark, there aren’t a lot of options. And so, I wanted to make sure that women of all skin tones were covered so they could be included in what I created.""—Rihanna, Brand Founder 

Fenty Beauty is 100 percent cruelty-free. ","Water, Dimethicone, Talc, Peg-10 Dimethicone, Trimethylsiloxysilicate, Polypropylene, Isododecane, Cetyl Peg/Ppg-10/1 Dimethicone, Nylon-12, Hdi/Trimethylol Hexyllactone Crosspolymer, Phenoxyethanol, Sodium Chloride, Hydrogen Dimethicone, Glycerin, Magnesium Sulfate, Sodium Dehydroacetate, Disteardimonium Hectorite, Aluminum Hydroxide, Methicone, Benzoic Acid, Dehydroacetic Acid, Propylene Carbonate, Ethylhexylglycerin, Parfum/Fragrance, Silica, Biosaccharide Gum-4, Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Paullinia Cupana Seed Extract, Potassium Sorbate, Sorbic Acid. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI77499)."IT Cosmetics,Your Skin But Better™ CC+™ Cream with SPF 50+,$15.00 - $38.00,SIZE 1.08 oz/ 32 mL,4.1 / 5 stars,"What it is:
 A bestselling, award-winning, full-coverage, color-correcting cream with antiaging skin care and SPF 50+ sunscreen.

What it does:
This color-correcting cream provides full, flawless coverage and protects skin with SPF 50+ UVA/UVB broad-spectrum physical sunscreen. It is clinically shown to increase hydration, smooth texture, and enhance brightness. The breakthrough formula never creases or cracks and instantly camouflages skin imperfections including dark spots. Plus, it’s infused with an advanced antiaging serum made of hydrolyzed collagen, peptides, niacin, hyaluronic acid, vitamins, and antioxidants that work in harmony to diminish the appearance of wrinkles and pores to create a more radiant, supple, and flawless-looking complexion.

What it is formulated WITHOUT:
- Parabens
- Phthalates

What else you need to know:
This product is an Allure Reader’s Choice award winner.

Developed with plastic surgeons and dermatologists, it is clinically tested, talc-free, and not tested on animals.

“This truly is an all-in-one, multitasking beauty miracle for your most beautiful skin! If you can’t decide between light and medium, definitely choose medium. I wear medium every day, it really adjusts to your skin tone perfectly!""—Jamie Kern Lima, Co-founder

Research results:
- #1 bestseller!* 
*#1 CC cream in the US based on NPD (consumer research firm) units and dollar sales for 2017","-Collagen: Supports skin elasticity for a youthful, smooth appearance.
-Peptides: Help reduce the appearance of wrinkles and support natural collagen for the look of smoother, firmer skin.
-Niacin: Promotes a more even appearance and helps combat the look of blemishes and hyperpigmentation.
-Antioxidants: Reduce and protect against free-radical damage, which can cause skin inflammation and aging.
-Titanium Dioxide 9.0%, Zinc Oxide 6.3%: Sunscreen.

Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate, Cetyl Peg/Ppg-10/1 Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Citrus Medica Limonum (Lemon) Peel Oil, Tocopheryl Acetate, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium Edta, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil, Vitis Vinifera (Grape) Seed Oil, Punica Granatum Seed Oil, Pinus Sylvestris Leaf Oil, Persea Gratissima (Avocado) Oil, Niacinamide, Citrus Grandis (Grapefruit) Peel Oil, Cholesterol, Anthemis Nobilis Flower Water, Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate, Perfluorohexane, Olea Europaea (Olive) Leaf Extract, Glycerin, Eucalyptus Globulus Leaf Oil, Camellia Sinensis Leaf Extract, Chrysanthemum Indicum Flower Extract, Pueraria Lobata Root Extract, Perfluorodecalin, Morus Alba Fruit Extract, Magnolia Kobus Bark Extract, Glycine Soja (Soybean) Sprout Extract, Diospyros Kaki Leaf Extract, Cinnamomum Cassia Bark Extract, Artemisia Princeps Leaf Extract, Pentafluoropropane, Curcuma Longa (Turmeric) Root Extract, Steareth-20, Hydrolyzed Hyaluronic Acid, Colloidal Oatmeal, Hydrolyzed Silk, Citric Acid, Sodium Benzoate, Potassium Sorbate, Aloe Barbadensis Leaf Extract, N-Hydroxysuccinimide, Hydrolyzed Collagen, Caprylhydroxamic Acid, Tocopherol, Thiamine Hcl, Riboflavin, Retinyl Palmitate, Pantothenic Acid, Palmitoyl Oligopeptide, Niacin, Folic Acid, Chrysin, Carnitine Hcl, Biotin, Ascorbic Acid, Palmitoyl Tetrapeptide-7, Chlorhexidine Digluconate. May Contain: Iron Oxides (Ci 77492, Ci 77491, Ci 77499)."MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,$43.00 ,SIZE 1.01 oz/ 30 mL,3.9 / 5 stars,"Coverage:
? Medium

Skin type:
? Sensitive
? Normal
? Dry
? Combination
? Oily

Finish:
? Natural

What it is:
 A game-changing, top-selling foundation with buildable to medium coverage, available in a diverse range of 40 shades.

What it does:
 The icon that changed the face of foundation, Ultra HD Liquid makes skin look 100 percent flawless, but is zero percent noticeable. The lightweight fluid has a weightless, second-skin feel that makes it comfortable to wear, while also ensuring it stays put. It keeps your skin hydrated and nourished for a supremely healthy, fresh face. This makeup artist essential is a must-have if you’re seeking completely invisible, seamless coverage—even under the most powerful high definition lenses. This is the game-changing formula that transformed the face of foundation, forever. It’s available in a diverse range of 40 shades.

What else you need to know:
 MAKE UP FOR EVER is once again leading the beauty industry into the next era of makeup innovation and technology. As the original pioneer of the HD makeup category, it continues to redefine and elevate beauty standards with the launch of its new Ultra HD Foundation, the first and only foundation designed for 4k technology. With 4k technology, the next generation of digital devices will display images with unbelievable detail, stunning clarity, and heightened color than existing HD technology. Completely invisible under the latest, ultra-magnified resolution, these innovative foundation formulas look completely natural on camera—and to the naked eye. 

""My goal was to cope with the new 4k technology while keeping the main benefits of HD Foundation. Ultra HD Foundation had to meet the perfection needs of pros as well as the everyday needs of all women.""—Dany Sanz, MAKE UP FOR EVER Founder and Creative Director.

This product is an Allure Reader’s Choice award winner.",N/AHUDA BEAUTY,#FauxFilter Foundation,$40.00 ,SIZE 1.18 oz/ 35 mL,3.7 / 5 stars,"Coverage:
? Full

Skin type:
? Normal
? Dry
? Combination
? Oily

Finish:
? Natural

What it is:
	A full-coverage cream foundation that visibly conceals blemishes and imperfections, for a filter-like finish.

What it does:
Packed with a high percentage of ultra-refined pigments, the #FauxFilter Foundation visibly smooths and evens skin texture, diminishing the appearance of blemishes, scars, hyperpigmentation, and redness to create a flawless, airbrushed finish. Enriched with argan oil and centella asiatica—both known for their hydrating properties—this fade-proof formula blends seamlessly with skin leaving it matte, with a hint of sheen for a luminous appearance. Wear it alone for full coverage, or blend it together with the Huda Beauty Complexion Perfection Pre-Makeup Base primer (sold separately) for an even more natural finish.

What it is formulated WITHOUT:
- Parabens
- Sulfates

What else you need to know:
""I always struggled to find the right foundation myself, so I would always mix them to get the right shade. I have an olive complexion with a very golden undertone—there’s so much more to your skin tone than meets the eye! So I made sure to take into account the skin tone and undertone when I was creating these shades. I would hand-mix the formulas myself, make the shade elaboration, and call them back in to test. It has been a real labor of love. And that’s why I’m so pleased we’ve created a really representative 30-shade offering that will provide an immaculate match for everyone. We shade-matched hundreds of people to ensure that our final selection would be all-inclusive.""—Huda Kattan, Brand Founder","Water, Cyclopentasiloxane, Talc, Isododecane, PEG-10 Dimethicone, Polymethyl Methacrylate, Butylene Glycol, Glycerin, Polyglyceryl-4 Isostearate, Trimethylsiloxyphenyl Dimethicone, Alcohol Denat., Neopentyl Glycol Diethylhexanoate, Disteardimonium Hectorite, Phenoxyethanol, Benzyl Alcohol, Myristyl Lactate, Sodium Chloride, Sodium Dehydroacetate, Aluminum Hydroxide,Argania Spinosa Kernel Oil, Tocopheryl Acetate, Parfum/Fragrance, Sodium Lauroyl Glutamate, Silica, Panthenol, Disodium Edta, Propylene Glycol, Lysine, Centella Asiatica Extract, Magnesium Chloride, Hydrogen Dimethicone,Benzyl Salicylate, Coumarin, Hexyl Cinnamal, Hydroxycitronellal,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Linalool. May Contain (+/-): CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides),CI 77007(Ultramarines)."Estée Lauder,Double Wear Stay-in-Place Makeup,$42.00 ,SIZE 1 oz/ 30 mL,4.4 / 5 stars,"Coverage: 
? Full 

Skin type: 
? Sensitive 
? Normal 
? Dry 
? Combination 
? Oily 

Finish: 
? Matte 

What it is: 
A 24-hour-wear liquid makeup with a flawless, natural, matte finish that unifies uneven skin tone and covers imperfections with buildable medium to full coverage. 

What it does: 
Double Wear makeup gives you 24-hour staying power for a flawless, natural matte finish. This foundation unifies uneven skin tone and covers imperfections with buildable medium-to-full coverage. The makeup feels lightweight and so comfortable, you won’t believe it is super long wear. The non-acnegenic formula won't clog pores, which may help avert breakouts, and helps control shine. It's waterproof, won’t run, rub off, or smudge and lasts in hot and humid weather. 

Double Wear comes in Cool, Neutral and Warm undertones with shades that have been blended so they won’t look grey on deeper skintones. 

What else you need to know: 
 This product is fragrance-free and has been dermatologist tested. It is oil-free, mattifying, transfer-resistant, dermatologist-tested, non-acnegenic, and fragrance-free. 

Beauty Tip: 
Get the most out of your foundation with this bestselling nighttime serum proven to dramatically reduce the key signs of aging. ","Water, Cyclopentasiloxane, Trimethylsiloxysilicate, Peg/Ppg-18/18 Dimethicone, Butylene Glycol, Tribehenin, Polyglyceryl-3 Diisostearate, Magnesium Sulfate, Tocopheryl Acetate, Polymethylsilsesquioxane, Methicone, Laureth-7, Xanthan Gum, Alumina, Sodium Dehydroacetate, Disteardimonium Hectorite, Cellulose Gum, Propylene Carbonate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phenoxyethanol, [+/- Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Mica, Titanium Dioxide (Ci 77891)]. "Giorgio Armani Beauty,Luminous Silk Foundation,$64.00 ,SIZE 1 oz/ 30 mL,4.2 / 5 stars,"Coverage:
? Medium

Skin type:
? Sensitive
? Normal
? Dry
? Combination

Finish:
? Radiant

What it is:
A lightweight liquid foundation that achieves a radiant, silky finish.

What it does:
This award-winning foundation is formulated with micro-fil technology, producing a low-density product that pairs high-impact pigments with weightless texture. Inspired by the silk shantung worn by kings and emperors, this foundation glides seamlessly onto the skin leaving a finish that’s reminiscent of charmeuse silk.

What else you need to know:
""These products are directly inspired by the way I choose fabrics for my collections. They allow the natural glow of the skin to come through no matter how many layers you apply.""—Giorgio Armani, Fashion Designer

""Quite simply, the best foundation there is.""—Linda Cantello, International Makeup Artist",-Micro-Fil Technology: Provides a translucent radiance and flawless finish.Kat Von D,Lock-It Foundation,$35.00 ,SIZE 1 oz/ 30 mL,3.9 / 5 stars,"What it is:
 A hyper-performance liquid foundation with flexible full coverage and up to 24-hour wear, available in 30 shades for a range of skin tones and undertones.

What it does:
 Lock-It Foundation gives you all the coverage you need to rock a flawless matte-not-flat canvas that stays waterproof, fade-proof, and transfer-resistant for up to 24 hours—no touch-ups necessary. This unique formula delivers flexible full coverage. All you have to do is adjust the amount of foundation you use to quickly and easily achieve your perfect finish, whether it’s natural, medium-to-full coverage, or a flawless full-coverage finish.

With a high-pigment foundation like Lock-It, a little goes a long way. Just one pea-size droplet provides natural, medium-to-full coverage with up to 24-hours of wear. Need to cover redness, blemishes, or discoloration? Simply add another droplet and build lightly to create a flawless, full-coverage finish. For perfect precision and seamless blending, apply with the Lock-It Edge Foundation Brush (sold separately). 

Think you know Lock-It Foundation? Think again. Kat Von D’s hyper-performance vegan foundation has been a top-selling foundation for six years and counting—and it’s only getting better.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
Kat Von D used an antique wax seal as the inspiration for the Lock-It Collection design. 

This formula is oil-free and alcohol-free. Kat Von D products are vegan and cruelty-free.","
-Optical Diffusers: Treated pigments visually minimize the appearance of fine lines and wrinkles while increasing luminosity on the skin. 
-Emollients: Impart excellent slip and playtime; ensure softness. 
-Glycerin: Extremely hydrating. 
-Siliconic Elastomers: Long-lasting esters with emollient properties; provide dry, semi-matte finish. 
-Mattifying Powders: Texturing agent; increase powder effect and absorption properties. 
-Siliconic Ester: Provides no-transfer properties. 

Water, Dimethicone, Phenyl Trimethicone, Trimethylsiloxysilicate, Aluminum Starch Octenylsuccinate, Polysilicone-11, Butylene Glycol, Isononyl Isononanoate, Silica Dimethicone Silylate, Dimer Dilinoleyl Dimer Dilinoleate, Dimethicone Crosspolymer, Glycerin, Isododecane, Sodium Chloride, Methicone, Glyceryl Caprylate, Calcium Carbonate, Sorbitan Sesquioleate, Trihydroxystearin, Potassium Sorbate, Methylpropanediol, Caprylhydroxamic Acid, Disodium Edta, Peg/Ppg-18/18 Dimethicone. May Contain (+/-):CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxide), CI 77491 (Iron Oxide), CI 77499 (Iron Oxide). "bareMinerals,bareMinerals Original Foundation Broad Spectrum SPF 15,$29.00 ,SIZE 0.28 oz,4.6 / 5 stars,"Coverage: 
? Full 
? Medium 
? Sheer 

Skin type: 
? Sensitive 
? Normal 
? Dry 
? Combination 
? Oily 

Finish: 
? Radiant 

SPF: 
- SPF 15 

What it is: 
A mineral foundation with buildable coverage and a natural-looking, radiant finish—available in 30 shades for all skintones. 

What it does: 
 With the smooth, radiant look of a liquid foundation and the breathability of a powder, it’s no wonder this is the #1 Loose Powder Foundation in America. An original from the start, this formula is made with only five skin-loving mineral ingredients. Original Foundation’s minerals transform from powder to a silky cream when swirled, then buff and melt onto the face for a luminous, second-skin finish. 

 Original Foundation provides customized coverage designed to be buildable from sheer to full. All-day wear means less time spent on touch-ups, and non-chemical SPF 15 protection keeps sun damage at bay, helping skin stay healthier and younger-looking. This foundation is formulated for all skin types and is safe even for sensitive skin. 

What it is formulated WITHOUT: 
- Parabens 
- Sulfates 
- Phthalates 

What else you need to know: 
 All bareMinerals® Foundations is formulated for all skin types, oil-free, safe for even sensitive skin, noncomedogenic, hypoallergenic, and dermatologist-tested. This product is a winner of the 2016 Allure Reader's Choice Award for Best Prestige Foundation. ","-Titanium Dioxide and Zinc Oxide: Mineral sunscreen protection 

Mica, Titanium Dioxide, Iron Oxides, Bismuth Oxychloride."Lancôme,Teint Idole Ultra Long Wear Foundation,$47.00 ,SIZE 1 oz/ 30 mL,4.4 / 5 stars,"Coverage: 
? Medium 

Skin type: 
? Sensitive 
? Normal 
? Dry 
? Combination 
? Oily 

Finish: 
? Matte 

What it is: 
 An oil-free, long-wearing, liquid foundation that delivers medium-to-full coverage and leaves a natural-looking, velvety-matte finish for up to 24 hours. 

What it does: 
 For those long days, this foundation gives you the full coverage, comfortable, long wear that you need. Not thick or greasy, this foundation's innovative formula gives all skin tones flawless, complexion-perfecting coverage, while the broad spectrum SPF 15 sunscreen protects. Redness, pores, and imperfections visibly disappear, evening the skin tone and leaving a mattified-yet-natural result. Formulated with color-true NAI pigments, it maintains your skin’s pH level so that color stays put all day long—meaning your makeup doesn’t need to be re-touched and provides transfer-resistant coverage—plus, it’s infused with perlite and silica, absorbing oil for a shine-free wear. 

What else you need to know: 
 This expert formula took Lancôme eight years of research to perfect and unveil. This product is oil-free, fragrance-free, transfer-resistant, noncomedogenic, dermatologist-tested, and suitable for all skin types. Its 40 shades were developed based on real skin tones so that everyone can find the perfect match. ","
- Eternalsoft Polymer: Increases comfort level with ultralasting wear. 
- NAI Pigments: Specially-coated pigments maintain consistent pH level with skin, so color stays true all day. 
- Perlite and Silica: Absorb oil effectively. 

Water, Cyclopentasiloxane, Polypropysilsequioxane, Isododecane, Dimethicone, C30-45 Alkyldimethylsilyl, Polypropylsilsequioxane Silica, Glycerin, Peg-10 Dimethicone, Dimethicone/Polyglycerinej-3 Crosspolymer, Sodium Chloride, Nylon-12, Paraffin, Cyclomethione, Aluminum Hydroxide, Disodium Edta, Disodium Stearoyl Glutamate, Dipropylene Glycol, Disteardimonium Hectorite, Acrylates Copolymer, Phenoxyethanol Chlorphenesin, Ethylparaben, [+/- May Contain CI 77007 / Ultramarines, CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77891 / Titanium Dioxide]."Dior,Dior Airflash Spray Foundation,$62.00 ,SIZE 2.3 oz/ 70 mL,4.4 / 5 stars,"Coverage:
? Medium

Finish:
? Natural

What it is:
 An ultralight foundation that delivers an airbrushed effect with precision and ease.

What it does:
Get a runway-ready look with this innovative mist foundation inspired by the airbrushing techniques used backstage at fashion shows. The unique micro-diffusion system delivers a fine mist of foundation to provide a soft, velvety complexion. Customize your coverage by choosing to apply straight from the can for a lighter finish, or with a Kabuki brush for fuller coverage. Mother of pearl pigments even skin tone and diminish the appearance of skin irregularities and fine lines, leaving your skin glowing with optimal radiance.

What else you need to know:
The water-resistant formula ensures up to 12 hours of hold and colors that stay true.* Its ultra-fluid and ultra-fine texture allows for buildable, custom coverage to suit any skin tone and texture.

* Instrumental test on 20 people.","-Ultra-Fine Diffusion Technology: Gives the texture an extraordinarily fine quality. -Mother of Pearl Pigments: Even skin tone, diminish the appearance of skin irregularities, and diffuse light for a flawless complexion. "Hourglass,Vanish™ Seamless Finish Foundation Stick,$46.00 ,SIZE 0.25 oz/ 7 g,4.0 / 5 stars,"Coverage: 
? Full 

Skin type: 
? Sensitive 
? Normal 
? Dry 
? Combination 
? Oily 

Finish: 
? Natural 

What it is: 
 A long-wearing foundation stick with the coverage of a concealer, fluidity of a liquid, and weightlessness of a powder for invisible, full coverage. 

What it does: 
 A foundation and concealer in one, this foundation’s concentrated formula is infused with double the amount of pigment versus traditional foundations for instant full coverage in one application. The long-wearing, waterproof formula provides 12-hour coverage, and the innovative formula adjusts to your body temperature to effortlessly blend into the skin. Encased in a unique triangular bullet for precise application along the contours of the face, it can be used to contour and highlight. It features an array of shades and it’s designed specifically to be used with the Vanish Foundation Brush for the most seamless finish. 

What it is formulated WITHOUT: 
- Parabens 
- Sulfates 
- Phthalates 

What else you need to know: 
 This unique foundation stick is a poured liquid formula designed to adjust to your own body temperature to blend into your skin, for the smoothest, most seamless finish. The intense concentration of pigment allows for the fullest coverage while maintaining a weightless feel on the skin. 

 ""I wanted a foundation that was full-coverage and easy to use on the go. I love that with one application it covers all imperfections and creates this amazingly seamless finish.""—Carisa Janes, Hourglass Founder 

Hourglass products are 100 percent cruelty-free. 

 In a 1-week consumer study on 31 women, it was reported: 
- 100% said product was fast and easy to use and apply 
- 97% saw an instant improvement in skin appearance 
- 97% reported product effectively covered redness and skin imperfections 
- 94% reported product blended seamlessly into their own skin 
- 94% reported product effectively covered skin discoloration, pores, blemishes, and dark under eye circles 
